Rows,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
435,2022,Data Engineer,MI,FT,8331086,GB,GB,M,100
436,2022,Data Engineer,MI,FT,7289680,GB,GB,M,100
437,2022,Data Engineer,MI,FT,5247529,ES,ES,M,100
438,2022,Data Engineer,MI,FT,6996705,GR,GR,M,100
439,2022,Machine Learning Engineer,SE,FT,15090356,US,US,M,0
440,2022,Machine Learning Engineer,SE,FT,13128649,US,US,M,0
441,2022,Data Analyst,MI,FT,3498353,GR,GR,M,100
442,2022,Data Analyst,MI,FT,2623725,GR,GR,M,100
443,2022,Data Engineer,MI,FT,7810383,GB,GB,M,100
444,2022,Data Engineer,MI,FT,6248275,GB,GB,M,100
445,2022,Data Scientist,SE,FT,17131313,US,US,L,0
446,2022,Data Engineer,MI,FT,6122077,GR,GR,M,100
447,2022,Data Engineer,SE,FT,16637982,US,US,L,100
448,2022,Data Engineer,SE,FT,12301445,US,US,L,100
449,2022,Data Engineer,SE,FT,14322510,US,US,M,100
450,2022,ML Engineer,EN,FT,1749176,PT,PT,L,100
451,2022,Data Engineer,SE,FT,6365560,US,US,M,100
452,2022,Machine Learning Developer,MI,FT,6269360,CA,CA,M,100
453,2022,Director of Data Science,EX,FT,15673521,CA,CA,L,50
454,2022,Machine Learning Engineer,MI,FT,9548340,US,US,S,100
455,2022,Computer Vision Engineer,EN,FT,9946188,US,US,M,0
456,2022,NLP Engineer,MI,FT,2962850,US,US,L,50
457,2022,Data Engineer,SE,FT,8354798,US,US,M,100
458,2022,Lead Machine Learning Engineer,SE,FT,6996705,DE,DE,M,0
459,2022,Business Data Analyst,MI,FT,1467421,IN,IN,M,100
460,2022,Data Scientist,MI,FT,2515590,IN,IN,L,100
461,2022,Machine Learning Infrastructure Engineer,MI,FT,4635321,PT,PT,L,50
462,2022,Financial Data Analyst,EN,FT,7956950,US,US,L,50
463,2022,Data Engineer,MI,PT,4372901,DE,DE,L,50
464,2022,Data Scientist,EN,FT,1467421,IN,IN,M,100
465,2022,Principal Data Scientist,SE,FT,12943889,DE,DE,M,100
466,2022,Data Engineer,EN,FT,9548340,US,US,M,100
467,2022,Research Scientist,SE,FT,11458008,US,US,L,50
468,2022,Data Scientist,SE,FT,8346045,US,US,M,100
469,2022,Data Engineer,SE,FT,7956950,US,US,M,100
470,2022,Data Scientist,SE,FT,11139730,US,US,M,100
471,2022,Data Analyst,MI,FT,10741883,US,US,M,100
472,2022,Data Analyst,MI,FT,3978475,US,US,M,100
473,2022,Data Scientist,SE,FT,17505290,US,US,M,100
474,2022,Data Scientist,SE,FT,11139730,US,US,M,100
475,2022,Data Scientist,MI,FT,14579360,GB,GB,M,0
476,2022,Data Scientist,MI,FT,7289680,GB,GB,M,0
477,2022,Data Scientist,SE,FT,14728314,US,US,M,100
478,2022,Machine Learning Engineer,SE,FT,17505290,US,US,M,100
479,2022,Data Scientist,MI,FT,15913900,US,US,M,100
480,2022,Data Scientist,MI,FT,9548340,US,US,M,100
481,2022,Machine Learning Engineer,SE,FT,9548340,AE,AE,S,100
482,2022,Machine Learning Engineer,SE,FT,5172018,AE,AE,S,100
483,2022,Data Engineer,EX,FT,25780518,US,US,M,100
484,2022,Data Engineer,EX,FT,17187012,US,US,M,100
485,2022,Data Engineer,SE,FT,16709595,US,US,M,100
486,2022,Machine Learning Engineer,SE,FT,9548340,US,US,M,100
487,2022,Data Scientist,SE,FT,18300985,US,US,M,100
488,2022,Data Scientist,EN,PT,7956950,DZ,DZ,M,50
489,2022,Data Scientist,MI,FL,7956950,CA,US,M,100
490,2022,Applied Machine Learning Scientist,EN,CT,2536278,TN,CZ,M,100
491,2022,Head of Data,SE,FT,15913900,MY,US,M,100
492,2022,Principal Data Analyst,MI,FT,5967713,CA,CA,S,100
493,2022,Data Scientist,MI,FT,2831879,PL,PL,L,100
494,2022,Machine Learning Developer,SE,FT,6269360,CA,CA,M,100
495,2022,Data Scientist,SE,FT,7956950,BR,US,M,100
496,2022,Machine Learning Scientist,MI,FT,12174134,US,US,M,50
497,2022,Data Engineer,EN,FT,4617816,PK,DE,M,100
498,2022,Data Scientist,SE,FT,13128968,US,US,M,100
499,2022,Research Scientist,SE,FT,7433940,FR,FR,L,50
500,2022,Data Scientist,EN,FT,4169124,CA,CA,L,100
501,2022,Machine Learning Engineer,SE,FT,4985109,NL,NL,L,100
502,2022,Head of Data,MI,FT,2623725,EE,EE,S,100
503,2022,Data Scientist,EN,FT,3182780,JP,MY,L,100
504,2022,Machine Learning Engineer,MI,FT,6956364,AU,AU,L,100
505,2022,Data Engineer,SE,FT,9150493,US,US,M,100
506,2022,Data Scientist,EN,FT,6898914,AU,AU,M,50
507,2022,Applied Machine Learning Scientist,MI,FT,5967713,BO,US,L,100
508,2022,Research Scientist,MI,FT,5160003,AT,AT,L,0
509,2022,Research Scientist,EN,FT,9548340,US,US,L,100
510,2022,Applied Data Scientist,MI,FT,12492412,US,US,L,100
511,2022,Computer Vision Software Engineer,EN,FT,11935425,AU,AU,S,100
512,2022,Business Data Analyst,MI,FT,5642432,CA,CA,L,50
513,2022,Data Engineer,EN,FT,5172018,US,US,S,100
514,2022,Machine Learning Engineer,SE,FT,5684763,IE,IE,S,100
515,2022,Data Analytics Engineer,EN,FT,1591390,PK,PK,M,0
516,2022,Data Scientist,MI,FT,3819336,RU,US,S,100
517,2022,Data Science Manager,SE,FT,12134349,US,US,M,100
518,2022,Data Engineer,MI,FT,5422423,FR,FR,M,100
519,2022,Data Scientist,MI,FT,9735010,CH,CH,L,0
520,2022,Applied Data Scientist,SE,FT,30236410,US,US,L,100
521,2022,Data Scientist,MI,FT,5517031,CA,CA,M,100
522,2022,Computer Vision Engineer,EN,FT,795695,PT,LU,M,100
523,2022,Data Analyst,MI,FT,1591390,GR,GR,S,100
524,2022,Data Analytics Lead,SE,FT,32225648,US,US,L,100
525,2022,Data Scientist,MI,FT,10741883,US,US,L,100
526,2022,Applied Data Scientist,SE,FT,14083802,US,US,L,100
527,2022,Data Scientist,MI,FT,6206421,US,US,M,100
528,2022,Data Analyst,SE,FT,10741883,US,US,M,100
529,2022,Data Analyst,SE,FT,7956950,US,US,M,100
530,2022,Data Analyst,SE,FT,7186717,US,US,M,100
531,2022,Data Analyst,MI,FT,6763408,CA,CA,M,0
532,2022,Data Analyst,MI,FT,5967713,CA,CA,M,0
533,2022,Machine Learning Engineer,SE,FT,17027873,US,US,M,100
534,2022,Machine Learning Engineer,SE,FT,15325086,US,US,M,100
535,2022,Data Architect,SE,FT,21197315,US,US,M,100
536,2022,Data Architect,SE,FT,16957852,US,US,M,100
537,2022,Data Analyst,SE,FT,8983397,US,US,M,100
538,2022,Data Engineer,SE,FT,12333273,US,US,M,100
539,2022,Data Scientist,MI,FT,11243170,US,US,M,0
540,2022,Data Scientist,MI,FT,8124046,US,US,M,0
541,2022,Data Analyst,SE,FT,9224810,US,US,M,100
542,2022,Data Analyst,SE,FT,6498123,US,US,M,100
543,2022,Data Engineer,MI,FT,16446936,US,US,M,0
544,2022,Data Engineer,MI,FT,7885337,US,US,M,0
545,2022,Data Engineer,SE,FT,10344035,US,US,M,100
546,2022,Data Engineer,SE,FT,9150493,US,US,M,100
547,2022,Data Engineer,SE,FT,8792430,US,US,M,100
548,2022,Data Engineer,SE,FT,10344035,US,US,M,100
549,2022,Data Analyst,SE,FT,7881359,US,US,M,100
550,2022,Data Engineer,SE,FT,12731120,US,US,M,100
551,2022,Data Scientist,SE,FT,16335618,US,US,L,0
552,2022,Data Scientist,SE,FT,11171558,US,US,L,0
553,2022,Data Scientist,SE,FT,14004232,US,US,M,100
554,2022,Data Scientist,SE,FT,11458008,US,US,M,100
555,2022,Data Engineer,SE,FT,15921857,US,US,M,100
556,2022,Data Engineer,SE,FT,12731120,US,US,M,100
557,2022,Data Engineer,SE,FT,11537578,US,US,M,100
558,2022,Data Engineer,SE,FT,5609650,US,US,M,0
559,2022,Data Scientist,SE,FT,16335618,US,US,M,0
560,2022,Data Scientist,SE,FT,11171558,US,US,M,0
561,2022,Analytics Engineer,SE,FT,16335618,US,US,M,0
562,2022,Analytics Engineer,SE,FT,14696487,US,US,M,0
563,2022,Data Engineer,SE,FT,13932619,US,US,M,100
564,2022,Data Engineer,SE,FT,11159622,US,US,M,100
565,2022,Data Analyst,SE,FT,9241997,US,US,M,100
566,2022,Data Engineer,SE,FT,4296753,US,US,M,0
567,2022,Data Analyst,SE,FT,13526815,US,US,M,100
568,2022,Data Analyst,MI,FT,5206869,GB,GB,M,0
569,2022,Data Analyst,SE,FT,6365560,US,US,M,100
570,2022,Data Scientist,SE,FT,11139730,US,US,M,100
571,2022,Data Scientist,SE,FT,16709595,US,US,M,100
572,2022,Data Scientist,SE,FT,11139730,US,US,M,100
573,2022,Data Analyst,SE,FT,7956950,US,US,M,100
574,2022,Data Analyst,SE,FT,5490296,US,US,M,100
575,2022,Data Scientist,SE,FT,16709595,US,US,M,100
576,2022,Data Scientist,SE,FT,11139730,US,US,M,100
577,2022,Data Scientist,SE,FT,16709595,US,US,M,100
578,2022,Data Analyst,SE,FT,11941393,US,US,M,100
579,2022,Data Engineer,SE,FT,7956950,US,US,M,100
580,2022,Data Engineer,SE,FT,1989238,US,US,M,100
581,2022,Data Analyst,SE,FT,10065542,US,US,M,100
582,2022,Data Analyst,SE,FT,8455055,US,US,M,100
583,2022,Data Engineer,SE,FT,17514043,US,US,M,100
584,2022,Data Engineer,SE,FT,12737486,US,US,M,100
585,2022,Data Analyst,SE,FT,8354798,US,US,M,100
586,2022,Data Analyst,SE,FT,8826247,US,US,M,100
587,2022,Data Analyst,MI,FT,3644840,GB,GB,M,0
588,2022,Data Scientist,SE,FT,11139730,US,US,M,100
589,2022,Data Analyst,SE,FT,7877381,US,US,M,0
590,2022,Data Analyst,SE,FT,4774170,US,US,M,100
591,2022,Data Architect,SE,FT,15322221,US,US,M,100
592,2022,Data Architect,SE,FT,11525960,US,US,M,100
593,2022,Data Scientist,SE,FT,18300985,US,US,M,100
594,2022,Data Scientist,SE,FT,11935425,US,US,M,100
595,2022,Data Analytics Manager,SE,FT,11956113,US,US,M,100
596,2022,Data Analytics Manager,SE,FT,8695355,US,US,M,100
597,2022,Data Scientist,SE,FT,16709595,US,US,M,100
598,2022,Data Analyst,SE,FT,13526815,US,US,M,100
599,2022,Data Scientist,MI,FT,12731120,US,US,M,100
600,2022,Data Scientist,MI,FT,10344035,US,US,M,100
601,2022,Data Analyst,EN,FT,5331157,CA,CA,M,0
602,2022,Data Analyst,EN,FT,4137614,CA,CA,M,0
603,2022,Data Engineer,SE,FT,12253703,US,US,M,100
604,2022,Data Engineer,SE,FT,10025757,US,US,M,100
605,2022,Data Analyst,SE,FT,10264466,US,US,M,0
606,2022,Data Analyst,SE,FT,11935425,US,US,M,100
607,2022,AI Scientist,MI,FT,15913900,IN,US,L,100
